ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
TK-240009,2025-01-01 20:48,2025-01-01 20:56,2025-01-01 21:10,resolved,chat,C100956,,VA-EB-PL1,Other,Normal,Chat Frontline,A3009,0,5,212400,CANCEL,N,"product: pulse 1
order: vr896352
purchased: 28/12
issue: please cancel, ordered by mistake
tried: tried cancel button, greyed out
expected: replacement","1. Order cancellation
2. Cancelled before dispatch
3. Full refund processed (2124) (SOP 4.2) //SUK",legacy_fd
TK-240010,2025-01-01 22:07,2025-01-01 22:10,2025-01-01 22:49,resolved,chat,C104356,VR880987,VA-EB-PL1,Charging & Battery,Normal,Chat Frontline,A3001,0,3,,,N,"Dear team,
I bought teh Pulse buds on Octoer 04. Battery backup is terrible now.
I turned off always-on display. Nothing changed.
I want a replacement.
Rgds Aishwarya Patil","poor battery backup | checked fw 3.7.5 -> advised settings change, cx satisfied ~Suresh",legacy_fd
TK-240012,2025-01-02 09:42,2025-01-02 09:46,2025-01-05 10:33,resolved,chat,C109346,VR885231,VA-HP-ST3,Other,High,Chat Frontline,A3013,0,,,,N,"hleo
what is the status of my warranty claim
anyone there",replacement approved and dispatched. issue: warranty claim status. checked rma status.,legacy_fd
TK-240014,2025-01-02 09:47,2025-01-02 09:55,2025-01-05 10:28,resolved,chat,C100487,VR903292,VA-HP-ST2,Delivery & Shipping,Normal,Logistics,A3027,0,5,,,Y,"hi, this is regarding my strata 2 headphones. ordered black, got white, not what i asked for. please advise.","1. Wrong variant received
2. Raised with warehouse
3. Replacement unit dispatched",legacy_fd
TK-240015,2025-01-02 12:35,2025-01-02 13:33,2025-01-04 13:49,resolved,email,C104773,VR895522,VA-EB-AIR,Returns & Refunds,Low,Returns Desk,A3037,0,3,170900,GW-OTHER,N,"dear sir/madam,
bought airlite around 20 dec from vireo.in.  where is the money for the return.
please resolve asap",issue: rfnd not credited | chk reverse pkp qc status -> full rfnd processed (1709) ~Manish,legacy_fd
TK-240016,2025-01-02 13:41,2025-01-02 14:10,2025-01-02 14:45,resolved,email,C103696,VR897275,VA-EB-AIR,Connectivity,Normal,Email Frontline,A3018,0,,34200,WTY-BUYBACK,N,"to the vireo customer care team,

i am writinng wtih reference to my odrer of ailite (vr897275) placed on november 28. the sound stutters whenever my phone is in my pocket. i have kept phone in hand. i request you to look into this matter at the earliest.

sincerely,
payal jadhav",re: bt dropouts | checked interference sources -> replacement raised,legacy_fd
TK-240017,2025-01-02 15:56,2025-01-02 16:00,2025-01-02 16:13,resolved,social,C109465,,VA-SW-NX1,Other,Low,Chat Frontline,A3009,0,,,,N,"sir ji
package not delivered even after 5 days
ittna paisa diya hai
nexa watch
help",Reported: order not delivered. chk AWB with courier. rfnd initiated as lost in transit. (SOP 4.2) //SUK,legacy_fd
TK-240018,2025-01-02 16:08,2025-01-02 16:09,2025-01-02 17:01,closed,chat,C102156,VR882274,VA-EB-PL1,Charging & Battery,Normal,Chat Frontline,A3014,0,4,,,N,"dear sir/madam, pulse earbuds purchased a month ago, order vr882274. left earbud not charging, right one is fine. i tried a different cable. really frustrating. waiting for ur reply. thanks in advance, payal bose",Advised to observe for 48h & revert. Issue: left earbud not taking charge. Asked cx to clean charging pins.,legacy_fd
TK-240019,2025-01-02 17:30,2025-01-02 18:34,2025-01-03 18:51,resolved,social,C109220,VR897762,VA-EB-AIR,Other,Normal,Chat Frontline,A3005,0,,,,N,Not what I expected from Vireo. I bought the AirLite buds on 28 Dec. my order has not been delivered yet. I already checked with neighbours. This is the last time I buy from you.,"Cust contacted re shipment not received. Checked AWB with courier. RTO confirmed, reshipped.",helpdesk
TK-240019,2025-01-02 17:30,2025-01-02 18:34,2025-01-03 18:51,resolved,social,C109220,VR897762,VA-EB-AIR,Other,Normal,Chat Frontline,A3005,0,,,,N,Not what I expected from Vireo. I bought the AirLite buds on 28 Dec. my order has not been delivered yet. I already checked with neighbours. This is the last time I buy from you.,"Cust contacted re shipment not received. Checked AWB with courier. RTO confirmed, reshipped.",legacy_fd
TK-240020,2025-01-02 18:11,2025-01-02 18:20,2025-01-02 18:40,resolved,chat,C102130,VR901892,VA-NB-ARC,Product Enquiry,Low,Chat Frontline,A3016,1,,,,N,"Hello Vireo,
Ordered Arc neckband 10 days ago.  Your ad said 20% off and the cart says full price.
I tried in caps. Nothing changed.
Please resolve asap.
Awaiting response Joseph Reddy",closed -TK,legacy_fd
TK-240021,2025-01-02 19:07,2025-01-02 19:10,,open,chat,C103367,,VA-EB-PL1,Audio Quality,Normal,Chat Frontline,A3014,0,3,,,Y,"Dear Sir/Madam,

I am writing with reference to my order of the Pulse buds placed on 17-09-2024. Only one side plays sound. I have checked balance settings. I request you to look into this matter at the earliest.

Regards,
Kavya Malhotra","rplc raised, RMA shared w/ cx. Issue: left side silent. Walked through reset. -AD",legacy_fd
TK-240022,2025-01-02 20:47,2025-01-02 20:49,2025-01-02 21:06,resolved,chat,C107527,VR893123,VA-EB-AIR,Connectivity,Normal,Chat Frontline,A3012,0,4,,,N,"Pathetic experience honestly.  airlite earbuds purchased around Diwali, order VR893123. connection drops constantly. I already reset both devices. Escalate this to someone senior.",contact re bt dropouts. checked fw 3.0.12. fw update resolved.,legacy_fd
TK-240023,2025-01-02 21:37,2025-01-02 23:39,2025-01-04 02:47,resolved,voice,C106269,VR892299,VA-EB-AIR,Warranty & Repair,Low,Escalations & Warranty,A3039,0,,28800,GW-OTHER,N,[IVR transcript] I am losing patience. Bought airlite earbuds around 29 Nov from vireo.in. what is the status of my warranty claim. I already emailed twice. This is the last time I buy from you.,re: warranty claim status | checked rma status -> refunded rs 288 ~Reyansh,legacy_fd
TK-240024,2025-01-02 22:32,2025-01-03 07:12,2025-01-03 07:21,closed,email,C108024,VR906268,VA-EB-PL1,Other,Normal,Email Frontline,A3020,0,,,,N,"please cancel, ordered by mistake","cancel ord | chk shipment status -> cancelled, rfnd initiated",legacy_fd
TK-240025,2025-01-03 09:59,2025-01-03 11:34,2025-01-03 12:07,closed,email,C103196,VR889118,VA-EB-PL1,Charging & Battery,Normal,Email Frontline,A3033,1,,,,Y,"Hi team, This is regarding Pulse earbuds.  The L bud is basically a paperweight now, R is fine. Please resolve asap. Thansk & regards, Nisha Rao","1. left earbud not taking charge
2. conf fw 1.9.4
3. xfer to billing
4. new unit shipped under doa",legacy_fd
TK-240026,2025-01-03 10:39,2025-01-03 10:47,2025-01-03 10:58,closed,chat,C103080,VR904622,VA-SW-NX1,Billing & Payments,High,Billing,A3032,0,,399900,GW-OTHER,N,"i bought the nexa smartwatch on december 21. ordered the wrong colour, don't ship it.
i tried cancel button, greyed out.
waiting for your reply.","1. cancellation request
2. cancelled before dispatch
3. rfnd of rs 3999 initiated to source ~Sneha",legacy_fd
TK-240027,2025-01-03 11:03,2025-01-03 11:58,2025-01-06 13:56,resolved,voice,C106678,VR890938,VA-EB-PL1,Warranty & Repair,High,Escalations & Warranty,A3039,0,4,,,N,received damaged product - VR890938,"issue: transit damage | photos received, damage confirmed -> refund initiated ~Reyansh",legacy_fd
TK-240028,2025-01-03 11:42,2025-01-03 12:53,2025-01-03 13:19,closed,voice,C100455,VR888855,VA-EB-PL1,Returns & Refunds,High,Returns Desk,A3037,0,4,249900,GW-OTHER,N,Not acceptable at this price. Odrer VR888855 (pulse 1). nobody came for the pickup. I already called courier. This is the last time I buy from you.,"cx ok. | issued refund + replacement both, tl aware. ~Manish",legacy_fd
TK-240030,2025-01-03 11:46,2025-01-03 14:38,2025-01-15 17:07,resolved,email,C105816,,VA-SW-NX1,Warranty & Repair,Normal,Escalations & Warranty,A3044,0,,,,Y,"namaste, ordered my nexa 10 days ago. the display just ignores my finger half the time. i cleaned screen. honestly regretting this purchase. please resolve asap.",Hard reset resolved. Issue: touch issue. Asked for video.,helpdesk
TK-240030,2025-01-03 11:46,2025-01-03 14:38,2025-01-15 17:07,resolved,email,C105816,,VA-SW-NX1,Warranty & Repair,Normal,Escalations & Warranty,A3044,0,,,,Y,"namaste, ordered my nexa 10 days ago. the display just ignores my finger half the time. i cleaned screen. honestly regretting this purchase. please resolve asap.",Hard reset resolved. Issue: touch issue. Asked for video.,legacy_fd
TK-240031,2025-01-03 11:55,2025-01-03 13:46,2025-01-03 14:08,resolved,email,C100322,,VA-HP-ST3,Billing & Payments,High,Billing,A3033,0,4,699900,DUP-PAYMENT,N,"i have been a loyal customer and this is how you treat me. bought strata 3 around 23-12-2024 from vireo.in. paid once, statement disagrees. i already checked with bank. escalate this to someone senior.","1. duplicate payment
2. checked pg for duplicate txn
3. refunded rs 6999",legacy_fd
TK-240032,2025-01-03 14:57,2025-01-03 15:22,2025-01-03 15:36,resolved,voice,C103418,VR894040,VA-HP-ST2,App & Firmware,Normal,Voice Frontline,A3026,0,,,,N,"[IVR transcript] dear sir/madam, i bought my strata 2 headphones on 12 oct. the vireo app keeps crashing. i cleared cache. how do i get this fixed? thanks & regards","re: app crash on device page | chk app version -> bug logged, workaround shared //AAD",legacy_fd
TK-240034,2025-01-03 16:27,2025-01-03 17:35,2025-01-03 18:20,resolved,email,C100322,,VA-HP-ST3,Connectivity,Normal,Email Frontline,A3018,0,,,,N,"product: strata 3
purchased: december 23
issue: firmware update stuck for 2 hours
tried: kept phone nearby
expected: resolution",cx: fw update stuck | asked cx to keep in case 30 min -> replacement raised (bricked) ~Krishna,legacy_fd
TK-240035,2025-01-03 17:38,2025-01-04 04:22,2025-01-04 04:34,resolved,email,C108547,VR904754,VA-SW-FIT,Billing & Payments,High,Billing,A3034,0,,,,N,"hi vireo support, order vr904754 (my nexa fit band).  my company accounts team is asking for the tax bill. i tried different browser. nohing changed. what do i do now? thanks, fraah goyal",done (sop 2.7),legacy_fd
TK-240036,2025-01-03 18:18,2025-01-03 22:41,2025-01-08 23:09,resolved,email,C101191,VR905561,VA-NB-ARC,Delivery & Shipping,Normal,Logistics,A3028,0,2,,,N,"product: teh neckband
order: vr905561
purchased: 26/12
issue: it has been 9 days and i have nothng in hand
tried: checked w/ neighbours
expected: replacement",cx reached out - delivery delayed. raised ticket w/ crr partner. re-shipped from warehouse.,legacy_fd
TK-240038,2025-01-03 19:41,2025-01-03 20:29,2025-01-03 20:55,resolved,voice,C107473,,VA-HP-ST2,App & Firmware,Normal,Voice Frontline,A3026,0,4,,,N,Not what I expected from Vireo. I bought my Strata 2 headphones on 18-10-2024. teh progress bar has not moved since morning. I already kept it in the case. Refund. Now.,re: update hang | asked cx to keep in case 30 min -> update completed after retry //AAD,legacy_fd
TK-240040,2025-01-03 21:39,2025-01-04 01:04,2025-01-04 01:33,resolved,email,C106146,VR907314,VA-SW-NX1,Other,High,Email Frontline,A3002,0,5,,,N,"Dear Sir/Madam,

I am writing with reference to my order of the nexa smartwatch (VR907314) placed on 31-12-2024. My bank says Rs 6499 went to you but your site says I have no orders. I have tried logging out and in. I REQUEST YOU TO KINDLY ARRANGE A REPLACEMENT.

REGARDS,
SIMRAN SHINDE",closed,legacy_fd
TK-240041,2025-01-03 22:33,2025-01-04 01:25,2025-01-04 01:47,resolved,email,C104497,,VA-SW-NX1,Other,Normal,Email Frontline,A3017,0,3,,,N,"Hi there, Got the nexa smartwatch from vireo.in 3 weeks back. The login code never arrives, tried 6 times. I tried on another browser. Not acceptable at this price. I want my money back.",otp resent -KS,helpdesk
TK-240041,2025-01-03 22:33,2025-01-04 01:25,2025-01-04 01:47,resolved,email,C104497,,VA-SW-NX1,Other,Normal,Email Frontline,A3017,0,3,,,N,"Hi there, Got the nexa smartwatch from vireo.in 3 weeks back. The login code never arrives, tried 6 times. I tried on another browser. Not acceptable at this price. I want my money back.",otp resent -KS,legacy_fd
TK-240042,2025-01-04 03:48,2025-01-04 03:49,2025-01-04 04:02,resolved,chat,C106245,,VA-EB-PL1,Connectivity,High,Chat Frontline,A3002,0,5,,,N,"hello ji
it goes silent for a second every few minutes and comes back
kal se","cx: connection dropping | advised to test in different location -> advised, cx will monitor [closed]",helpdesk
TK-240042,2025-01-04 03:48,2025-01-04 03:49,2025-01-04 04:02,resolved,chat,C106245,,VA-EB-PL1,Connectivity,High,Chat Frontline,A3002,0,5,,,N,"hello ji
it goes silent for a second every few minutes and comes back
kal se","cx: connection dropping | advised to test in different location -> advised, cx will monitor [closed]",legacy_fd
TK-240043,2025-01-04 09:39,2025-01-04 09:48,2025-01-04 10:02,resolved,chat,C108991,,VA-EB-AIR,Billing & Payments,High,Billing,A3033,0,,,,N,"Dear Sir/Madam,

I am writing with reference to my ordder of airlite earbuds placed on 27-12-2024. The festive offer vanished when I clicked pay. I have tried in caps. I request u to look innto this matter at teh earliest.

Regards,
Rohit Bnaerjee
Visakhapatnam",coupon not applied | chk cart eligibility -> store credit issued,legacy_fd
TK-240044,2025-01-04 11:26,2025-01-04 12:44,2025-01-04 13:17,resolved,email,C106329,VR885194,VA-NB-ARC,Billing & Payments,High,Billing,A3032,0,4,,,N,"hi sir
money debited but order not showing
please help karo
arc neckband VR885194
kindly do the needful","1. payment debited, no ord
2. confirmed w/ payment gateway
3. rfnd processed to source ~Sneha",legacy_fd
TK-240046,2025-01-04 12:58,2025-01-04 21:27,2025-01-04 21:48,resolved,email,C106933,,VA-EB-PL1,Charging & Battery,Low,Email Frontline,A3018,0,3,20000,GW-OTHER,N,"I am losing patience.  Got the Pulse buds from Amazon last month. the charging case is not charging. I already charged for 6 hours nothing. I want a replacement or refund, nothing else.",re: case no led / no charge | checked for lint in port -> full refund processed (200) ~Krishna,legacy_fd
TK-240047,2025-01-04 17:14,2025-01-04 17:26,2025-01-04 17:39,resolved,voice,C104499,VR898700,VA-SP-ORB,Billing & Payments,Normal,Billing,A3035,0,,,,N,"Honestly regretting this purchase. Order VR898700 (Orbit speaker). invoice not downloading. I already checked orders page. I want a replacement or refund, nothing else.",cx sates GST invoice request. Updated GSTIN on ord. GST invioce regenerated & shared. Closing.,legacy_fd
TK-240048,2025-01-04 18:08,2025-01-04 18:09,2025-01-04 18:34,resolved,chat,C108713,,VA-EB-PL1,Billing & Payments,High,Billing,A3035,0,3,,,N,"Hi Vireo support, Bought Pulse earbuds around December 21 frrom Amazon.  Promo code shows invalid. What do I do now? Regards, Nkhil Desai",cx ok,legacy_fd
TK-240049,2025-01-04 18:30,2025-01-04 20:17,,open,voice,C103729,VR887645,VA-SW-FIT,Delivery & Shipping,Normal,Logistics,A3030,0,2,,,N,package not delivered even after 6 days,cx reached out - ord not delivered. Raised ticket w/ courier partner. Re-shipped from warehouse. //AIS,legacy_fd
TK-240050,2025-01-04 23:36,2025-01-04 23:59,2025-01-06 00:23,resolved,chat,C102579,VR890106,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,A3031,1,3,179900,DOA-REPL,Y,"product: airlite earbuds
order: vr890106
purchased: december 27
issue: still waiting for my refund
tried: checked bank
expected: callback",issue: refund pending | checked reverse pickup qc status -> arn shared with cx | xfer logistics. | Full refund issued and replacement dispatched as goodwill.,legacy_fd
TK-240051,2025-01-05 07:19,2025-01-05 09:17,2025-01-05 09:43,resolved,email,C103554,,VA-SP-ORB,App & Firmware,Normal,Email Frontline,A3019,0,,,,N,app crashes when I open device settings.  need this sorted this week,"re: app not opening | chk app version -> bug logged, workaround shaared",legacy_fd
TK-240052,2025-01-05 09:36,2025-01-05 10:32,2025-01-05 11:04,resolved,voice,C102759,,VA-SW-FIT,Other,Normal,Voice Frontline,A3023,0,,,,N,[IVR transcript] I have ben a loyal customer and this is how you treat me. Got my Nexa Fit band from Amazon around Diwali. money debited but order not showing. I already checked bank statement. This is the last tme I buy from you.,"refund processed to source. issue: payment debited, no ord. chk pg dashboard for txn. -RG",legacy_fd
TK-240053,2025-01-05 10:32,2025-01-05 11:47,2025-01-05 12:26,resolved,email,C106544,VR897384,VA-SW-FIT,Connectivity,High,Email Frontline,A3022,1,,,,N,"hii
pairing is not working
pls reply","Reset done, paired ok. Issue: device not discoverable. Asked cx to reset the device. (SOP 4.2)",legacy_fd
TK-240055,2025-01-05 16:36,2025-01-05 16:53,2025-01-06 17:04,resolved,voice,C103973,VR888105,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3030,0,4,,,N,[IVR transcript] hey return pickup has not happened pulse 1 ??,Cx says pickup missed. Checked pickup AWB. Pickup rescheduled for 07 Jan.,legacy_fd
TK-240056,2025-01-05 19:33,2025-01-06 01:49,2025-01-06 02:01,resolved,email,C103876,,VA-EB-PL1,Other,High,Email Frontline,A3013,2,4,,,N,"Dear Sir/Madam,

I am writing w/ reference to my order of my Pulse placed on 05-01-2025.  Update my shipping address. I have tried editing in app. I request u to kindly arrange a replacement.

Regards,
Aarav Khan",re: address change request | checked dispatch status -> address updated | xfer chat frontline ~Rohit,legacy_fd
TK-240057,2025-01-05 20:27,2025-01-05 20:33,2025-01-05 20:57,resolved,chat,C105945,VR882448,VA-SP-ORB,Billing & Payments,High,Billing,A3035,0,3,,,N,"sir ji
my bank says rs 3499 went to u but your site says i have no orders
bahut pareshan hu
orbit speaker VR882448
urgent",Cx says amount deducted without ord. Confirmed w/ payment gateway. rfnd processed to source. Will monitor.,legacy_fd
TK-240058,2025-01-05 20:30,2025-01-06 00:12,,pending,email,C102992,,VA-SP-ORB,Other,Normal,Email Frontline,A3001,0,4,,,N,"hi
want to cancel my order
orbit speaker
kindly do the needful","issue: cancellation request | cancelled before dispatch -> already shipped, advised rto/return ~Suresh",legacy_fd
TK-240060,2025-01-05 21:07,2025-01-05 22:44,2025-01-05 23:12,resolved,email,C101467,VR902363,VA-SP-ORB,Billing & Payments,High,Billing,A3020,1,4,539900,DUP-PAYMENT,N,This is v disappointing. This is regarding Orbit speaker. my bank says Rs 3499 went to you but ur site says I have no orders. I already tried logging out and in. Escalate this to someone senior.,ticket raised for amount deducted without ord. chk pg dashboard for txn. xfer to email frontline. refunded rs 5399.,legacy_fd
TK-240061,2025-01-05 22:07,2025-01-06 01:51,2025-01-07 02:17,resolved,social,C107566,VR884038,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,A3037,0,2,85400,RETURN-QC-OK,N,"hi there, this is regarding the airlite buds.  refund not received yet. i emailed twice. what do i do now? thank u, thomas",rfnd of rs 854 initiated to source. issue: rfnd pending. chk reverse pickup qc status.,legacy_fd
TK-240062,2025-01-06 09:40,2025-01-06 09:41,2025-01-06 09:51,resolved,chat,C102843,,VA-EB-AIR,Delivery & Shipping,Normal,Logistics,A3028,0,5,,,N,"I am losing patience. Bought the AirLite buds around 31-12-2024 from vireo.in. typo in the flat number, courier will never find it. I already tried editing in app. Fix this or I am posting on twitter.","cx reached out - address change request. checked dispatch status. already dispatched, advised to redirect w/ crr.",legacy_fd
TK-240064,2025-01-06 12:06,2025-01-06 12:09,2025-01-06 12:47,resolved,chat,C103924,,VA-EB-PL1,Charging & Battery,Normal,Chat Frontline,A3007,0,,,,Y,"to the vireo customer care team,

i am writing w/ reference to my order of pulse earbuds placed on 18-10-2024. no light comes on the case when i plug it in. i have tried 3 different cables. i request u to provide a resolution within 3 working days.

yours faithfully,
ramesh sen
noida",rslvd on call,legacy_fd
TK-240065,2025-01-06 13:14,2025-01-06 14:40,2025-01-06 15:06,resolved,social,C108831,VR885140,VA-EB-PL1,Delivery & Shipping,Low,Logistics,A3030,0,2,,,N,"product: pulse 1
order: vr885140
purchased: 03 jan
issue: i haven't received my order
tried: called teh courier
expected: replacement",Cx reported order not delivered. Raised ticket with crr partner. Refund initiated as lost in transit. //AIS,legacy_fd
TK-240067,2025-01-06 13:52,2025-01-06 16:43,2025-01-06 16:51,closed,voice,C106525,,VA-EB-AIR,Product Enquiry,High,Voice Frontline,A3026,0,,,,N,"[IVR transcript] I haev been a loyal customer and this is how you terat me. Ordered AirLite around Diwali. does AirLite work with iPhone. I want a replacement or refund, nothing else.","1. Product enquiry
2. Shared compatibility info
3. Cx satissfied //AAD",helpdesk
TK-240067,2025-01-06 13:52,2025-01-06 16:43,2025-01-06 16:51,closed,voice,C106525,,VA-EB-AIR,Product Enquiry,High,Voice Frontline,A3026,0,,,,N,"[IVR transcript] I haev been a loyal customer and this is how you terat me. Ordered AirLite around Diwali. does AirLite work with iPhone. I want a replacement or refund, nothing else.","1. Product enquiry
2. Shared compatibility info
3. Cx satissfied //AAD",legacy_fd
TK-240069,2025-01-06 16:49,2025-01-06 17:27,2025-01-06 17:55,resolved,social,C102093,VR903797,VA-EB-AIR,Billing & Payments,High,Billing,A3035,0,5,179900,DUP-PAYMENT,N,"Hi there, Got the AirLite buds from vireo.in a month ago. Payment went through but I got no order id. I tried logging out and in. Nothing changed. Can someone fix this? Thanks in advance, Om Misshra",Contact re amount deducted without ord. Asked for UTR. rfnd of Rs 1799 initiated to source. Follow-up not required.,legacy_fd
TK-240070,2025-01-06 18:07,2025-01-06 18:17,2025-01-07 18:46,resolved,chat,C107446,VR899721,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,A3036,0,4,,,N,"To the Vireo Customer Care Team,

I am writing with reference to my order of the AirLite buds (VR899721) placed on 01 Jan. You picked up the item 15 days ago and my money hasn't come back. I have emailed twice. I request you to kindly arrange a replacement.

Yours faithfully,
Saanvi Saxena",Cx reported refund not credited. Checked refund status on PG. Refund reprocessed. Cx satisfied on chat.,legacy_fd
TK-240071,2025-01-06 18:48,2025-01-06 18:49,2025-01-06 19:03,resolved,chat,C108017,,VA-EB-AIR,Delivery & Shipping,Low,Logistics,A3030,0,3,,,N,"Hi, I bought teh AirLite buuds on January 04.  My order has not been delivered yet. I called the courier. I want my mney back.",Customer reached out - delivery delayed. chk AWB with courier. Re-shipped from warehouse. //AIS,legacy_fd
TK-240072,2025-01-06 19:43,2025-01-06 22:28,2025-01-06 22:46,resolved,email,C107296,VR900691,VA-HP-ST2,Connectivity,Normal,Email Frontline,A3002,0,,,,N,bluetooth keeps cutting out.  what do i do now?,issue: connection dropping | advised to test in different location -> fw update resolved (sop 4.2) [closed],legacy_fd
TK-240074,2025-01-06 22:08,2025-01-06 22:19,2025-01-12 03:46,resolved,chat,C105539,,VA-EB-PL1,Warranty & Repair,Normal,Escalations & Warranty,A3039,0,,,,N,"Got my Plse from vireo.in last month. Claim number RMA93605, anyoen alive there?. Can someone fix this? Awaiting response",rma status query | checked qc report -> replacement approved and dispatched,legacy_fd
TK-240075,2025-01-07 00:56,2025-01-07 02:14,2025-01-07 02:27,resolved,social,C104497,,VA-SP-ORB,Billing & Payments,High,Billing,A3032,0,4,,,N,"Hi there, Ordered Orbit speaker 10 days ago. Need the bill with my firm's GSTIN on it. I tried different browser. I want my money back.",invoice not downloading | regenerated invoice -> gst invoice regenerated & shared,helpdesk
TK-240075,2025-01-07 00:56,2025-01-07 02:14,2025-01-07 02:27,resolved,social,C104497,,VA-SP-ORB,Billing & Payments,High,Billing,A3032,0,4,,,N,"Hi there, Ordered Orbit speaker 10 days ago. Need the bill with my firm's GSTIN on it. I tried different browser. I want my money back.",invoice not downloading | regenerated invoice -> gst invoice regenerated & shared,legacy_fd
