ticket_id,ai_suggested_reason,ai_theme,ai_confidence,ai_evidence_quote,ai_model,ai_run_id
TK-240091,DUP-PAYMENT,payment_failure,n/a (rules),10 days ago. payment was deducted but no order was created. i tried log,rules-baseline-v2,rules:message
TK-240100,RETURN-QC-OK,return_qc,n/a (rules),1. refund not credited 2. checked refund status,rules-baseline-v2,rules:note
TK-240102,RETURN-QC-OK,return_qc,n/a (rules),Cx reported refund pending. Checked reverse pickup,rules-baseline-v2,rules:note
TK-240106,DUP-PAYMENT,payment_failure,n/a (rules),"1. payment debited, no order 2. checked pg dashboar",rules-baseline-v2,rules:note
TK-240109,RETURN-QC-OK,return_qc,n/a (rules),cx states incorrect product shipped. raised w/ warehouse. fu,rules-baseline-v2,rules:note
TK-240111,WTY-BUYBACK,hardware_fault,n/a (rules),single side audio only | asked cx to cehck,rules-baseline-v2,rules:note
TK-240117,RETURN-QC-OK,return_qc,n/a (rules),Ticet raised for rfnd delay. Checked reverse pkp QC,rules-baseline-v2,rules:note
TK-240120,RETURN-QC-OK,return_qc,n/a (rules),Customer sattes rfnd delay. chk reverse pkp QC stat,rules-baseline-v2,rules:note
TK-240121,CANCEL,customer_cancellation,n/a (rules),cx: order cancellation | cancelled before dispa,rules-baseline-v2,rules:note
TK-240134,RETURN-QC-OK,return_qc,n/a (rules),reverse picckup pending. Re-raised pickp with courier. rfnd of Rs,rules-baseline-v2,rules:note
TK-240135,RETURN-QC-OK,return_qc,n/a (rules),refunded rs 1799. issue: pickup missed. re-raised pickup w/ cou,rules-baseline-v2,rules:note
TK-240138,CANCEL,customer_cancellation,n/a (rules),Refunded Rs 1999. Issue: cancel order. Cancelled before disp,rules-baseline-v2,rules:note
TK-240146,RETURN-QC-OK,return_qc,n/a (rules),tiated to source. issue: rfnd delay. checked rfnd status on,rules-baseline-v2,rules:note
TK-240148,WTY-BUYBACK,hardware_fault,n/a (rules),issue: case no led / no charge | asked cx t,rules-baseline-v2,rules:note
TK-240154,CANCEL,customer_cancellation,n/a (rules),Contact re cancellation request. chk shipment status. Al,rules-baseline-v2,rules:note
TK-240157,WTY-BUYBACK,hardware_fault,n/a (rules),1. No audio one side 2. Checked balance setti,rules-baseline-v2,rules:note
TK-240163,CANCEL,customer_cancellation,n/a (rules),vised RTO/return. Issue: cancel order. Cancelled before disp,rules-baseline-v2,rules:note
TK-240177,DUP-PAYMENT,payment_failure,n/a (rules),1. failed ord after payment 2. checked pg dashboard,rules-baseline-v2,rules:note
TK-240194,DUP-PAYMENT,payment_failure,n/a (rules),Contact re failed order after payment. Asked for UTR. rfnd pro,rules-baseline-v2,rules:note
TK-240201,RETURN-QC-OK,return_qc,n/a (rules),ry 02 from vireo.in. you picked up the item 15 days ago and my money,rules-baseline-v2,rules:message
TK-240216,DUP-PAYMENT,payment_failure,n/a (rules),1. charged twice 2. confirmed utrs 3. ful,rules-baseline-v2,rules:note
TK-240226,RETURN-QC-OK,return_qc,n/a (rules),1. Pickup missed 2. Re-raised pickup with,rules-baseline-v2,rules:note
TK-240242,RETURN-QC-OK,return_qc,n/a (rules),"rplc approved, reverse pkp arranged. amount returne",rules-baseline-v2,rules:note
TK-240246,DUP-PAYMENT,payment_failure,n/a (rules),"4) placed on January 06. Paid via UPI, amount deducted, no order confirmation.",rules-baseline-v2,rules:message
TK-240247,RETURN-QC-OK,return_qc,n/a (rules),1. rfnd pending 2. checked rfnd status o,rules-baseline-v2,rules:note
TK-240256,DUP-PAYMENT,payment_failure,n/a (rules),"money debited but order not showing, i want my money",rules-baseline-v2,rules:message
TK-240258,WTY-BUYBACK,hardware_fault,n/a (rules),ent raised. issue: right side silent. walked through reset. -,rules-baseline-v2,rules:note
TK-240262,RETURN-QC-OK,return_qc,n/a (rules),Cx reported incorrect product shipped. Raised with warehouse.,rules-baseline-v2,rules:note
TK-240263,LOST-TRANSIT,transit_lost,n/a (rules),refund initiated as lost in transit. issue: order not delive,rules-baseline-v2,rules:note
TK-240272,RETURN-QC-OK,return_qc,n/a (rules),tiated to source. issue: refund pending. chk refund status on pg,rules-baseline-v2,rules:note
TK-240279,WTY-BUYBACK,connectivity_firmware,n/a (rules),Cx reported intermittent disconnects. Advised to test in dif,rules-baseline-v2,rules:note
TK-240285,DUP-PAYMENT,payment_failure,n/a (rules),1. amount deducted without order 2. asked for utr 3. re,rules-baseline-v2,rules:note
TK-240307,CANCEL,customer_cancellation,n/a (rules),ught Strata 2 on 12 Jan. Want to cancel my order. I tried caance,rules-baseline-v2,rules:message
TK-240311,DUP-PAYMENT,payment_failure,n/a (rules),Refunded Rs 288. Issue: failed order after payment. chk PG dashboard for tx,rules-baseline-v2,rules:note
TK-240320,GW-OTHER,service_recovery,high,"advised eq reset, resolved. -- refund + rplc, cx escalation avoided",claude-opus-5,tier2
TK-240328,RETURN-QC-OK,return_qc,n/a (rules),1. rfnd delay 2. Checked reverse picku,rules-baseline-v2,rules:note
TK-240338,RETURN-QC-OK,return_qc,n/a (rules),refunded rs 170. issue: refund not credited. checked refund status o,rules-baseline-v2,rules:note
TK-240353,CANCEL,customer_cancellation,n/a (rules),re: cancel ord | cancelled before dispa,rules-baseline-v2,rules:note
TK-240354,CANCEL,customer_cancellation,n/a (rules),cx: cancel ord | chk shipment satus ->,rules-baseline-v2,rules:note
TK-240357,RETURN-QC-OK,return_qc,n/a (rules),Cust contacted re refund not credited. chk reverse pickup QC s,rules-baseline-v2,rules:note
TK-240359,RETURN-QC-OK,return_qc,n/a (rules),Ticket raised for refund pending. chk reverse pkp QC stat,rules-baseline-v2,rules:note
TK-240360,CANCEL,customer_cancellation,n/a (rules),"Cancelled, rfnd initiated. Issue: cancellation req",rules-baseline-v2,rules:note
TK-240368,CANCEL,customer_cancellation,n/a (rules),refunded rs 270. issue: order cancellation. cancelled before dispat,rules-baseline-v2,rules:note
TK-240381,CANCEL,customer_cancellation,n/a (rules),cx reached out - cancellation request. Cancelled before dispat,rules-baseline-v2,rules:note
TK-240384,DUP-PAYMENT,payment_failure,n/a (rules),order aftre payment. chk pg dashboard for txn.,rules-baseline-v2,rules:note
TK-240399,DUP-PAYMENT,payment_failure,n/a (rules),"1. payment debited, no ord 2. confirmed with paymen",rules-baseline-v2,rules:note
TK-240409,CANCEL,customer_cancellation,n/a (rules),Cx says ord cancellation. Cancelled before dispat,rules-baseline-v2,rules:note
TK-240415,PRICE-ADJ,pricing_coupon,n/a (rules),1. Discount not applied 2. Checked cart eligibil,rules-baseline-v2,rules:note
TK-240416,RETURN-QC-OK,return_qc,n/a (rules),und 26/01 from vireo.in. refund not received yet. i already cheecked,rules-baseline-v2,rules:message
TK-240429,DOA-REPL,transit_damage,n/a (rules),"refund initiated. issue: damaged in transit. photos received, damage",rules-baseline-v2,rules:note
TK-240444,WTY-BUYBACK,hardware_fault,n/a (rules),spatched a new one under RMA. ~Krishna,rules-baseline-v2,rules:note
TK-240448,CANCEL,customer_cancellation,n/a (rules),vireo.in 3 weeks back.  Want to cancel my order. I tried cancel,rules-baseline-v2,rules:message
TK-240454,DUP-PAYMENT,payment_failure,n/a (rules),Contact re failed order after payment. Asekd for UTR. Refuunde,rules-baseline-v2,rules:note
TK-240460,RETURN-QC-OK,return_qc,n/a (rules),Reported: wrong item delivered. Verified orde,rules-baseline-v2,rules:note
TK-240466,DUP-PAYMENT,payment_failure,n/a (rules),"1. payment debited, no order 2. conf w/ payment gat",rules-baseline-v2,rules:note
TK-240477,LOST-TRANSIT,transit_lost,n/a (rules),Cust contacted re dlvry delayed. Checked AWB with crr. R,rules-baseline-v2,rules:note
TK-240479,DOA-REPL,transit_damage,n/a (rules),Reported: transit damage. chk with crr for damage,rules-baseline-v2,rules:note
TK-240483,WTY-BUYBACK,hardware_fault,medium,esc to wty. issue: rapid battery drain,claude-opus-5,tier2
TK-240484,CANCEL,customer_cancellation,n/a (rules),processed (1439). issue: order cancellation. checked shipment status,rules-baseline-v2,rules:note
TK-240492,CANCEL,customer_cancellation,n/a (rules),cx says cancel ord. cancelled before dispat,rules-baseline-v2,rules:note
TK-240495,RETURN-QC-OK,return_qc,n/a (rules),1. pkp not done 2. re-raised pkp w/ crr,rules-baseline-v2,rules:note
TK-240496,DUP-PAYMENT,payment_failure,n/a (rules),1. duplicate payment 2. checked pg for duplic,rules-baseline-v2,rules:note
TK-240505,LOST-TRANSIT,transit_lost,n/a (rules),nt not received. checked awb with courier. -RM,rules-baseline-v2,rules:note
TK-240515,DUP-PAYMENT,payment_failure,n/a (rules),eo.in 2 weeks ago.  Card charged two times. Please call me on my re,rules-baseline-v2,rules:message
TK-240523,RETURN-QC-OK,return_qc,n/a (rules),cx reached out - refund delay. chk reverse pickup QC s,rules-baseline-v2,rules:note
TK-240524,DUP-PAYMENT,payment_failure,n/a (rules),Reported: charged twice. chk PG for duplicate tx,rules-baseline-v2,rules:note
TK-240529,RETURN-QC-OK,return_qc,n/a (rules),1. pkp missed 2. Checked pkp AWB 3. rf,rules-baseline-v2,rules:note
TK-240530,RETURN-QC-OK,return_qc,n/a (rules),cx: reverse pickup pending | checked pickup,rules-baseline-v2,rules:note
TK-240531,CANCEL,customer_cancellation,n/a (rules),issue: cancel ord | cancelled beforre disp,rules-baseline-v2,rules:note
TK-240545,RETURN-QC-OK,return_qc,n/a (rules),Cust contacted re wrong variant received. Raised with wa,rules-baseline-v2,rules:note
TK-240554,DUP-PAYMENT,payment_failure,n/a (rules),"Cx repoorted payment debited, no ord. Confirmed with payment",rules-baseline-v2,rules:note
TK-240556,DOA-REPL,transit_damage,n/a (rules),Cx reported unit rcvd damaged. Checked with crr for da,rules-baseline-v2,rules:note
TK-240557,RETURN-QC-OK,return_qc,n/a (rules),pickup missed | checked pickup awb ->,rules-baseline-v2,rules:note
TK-240559,CANCEL,customer_cancellation,n/a (rules),"cancelled, refund initiated. issue: order cancellati",rules-baseline-v2,rules:note
TK-240564,WTY-BUYBACK,hardware_fault,n/a (rules),Ticket raised for mic issue. Tested on call w/ cx. R,rules-baseline-v2,rules:note
TK-240568,WTY-BUYBACK,hardware_fault,n/a (rules),issue: left earbud not taking charge | checked case led behav,rules-baseline-v2,rules:note
TK-240569,CANCEL,customer_cancellation,n/a (rules),1. Cancel ord 2. Cancelled before disp,rules-baseline-v2,rules:note
TK-240571,DUP-PAYMENT,payment_failure,n/a (rules),processed (6999). issue: duplicate payment. chk pg for duplicate tx,rules-baseline-v2,rules:note
TK-240580,RETURN-QC-OK,return_qc,n/a (rules),1. Pickup not done 2. Re-raised pickup w/ c,rules-baseline-v2,rules:note
TK-240588,LOST-TRANSIT,transit_lost,high,Shipment not rcvd. Raised ticket with courier partner,claude-opus-5,tier2
TK-240600,CANCEL,customer_cancellation,n/a (rules),m vireo.in 3 weeks back. Cancel order. Please call me on my,rules-baseline-v2,rules:message
TK-240604,RETURN-QC-OK,return_qc,n/a (rules),cx reached out - rfeund pending. chk refund stat,rules-baseline-v2,rules:note
TK-240618,RETURN-QC-OK,return_qc,n/a (rules),Customer reached out - reufnd not credited. Checked refund status o,rules-baseline-v2,rules:note
TK-240619,RETURN-QC-OK,return_qc,n/a (rules),hed out - pickpu missed. Re-raised pickup wiith crr. rfnd porcesse,rules-baseline-v2,rules:note
TK-240629,DUP-PAYMENT,payment_failure,n/a (rules),1. amount deducted without order 2. checked pg dashboar,rules-baseline-v2,rules:note
TK-240630,CANCEL,customer_cancellation,n/a (rules),cx: cancel order | cancelled before dis,rules-baseline-v2,rules:note
TK-240641,PRICE-ADJ,pricing_coupon,n/a (rules),promo code shows invalid VR905415 p,rules-baseline-v2,rules:message
TK-240642,RETURN-QC-OK,return_qc,n/a (rules),1. Refund pending 2. Checked reverse picku,rules-baseline-v2,rules:note
TK-240649,RETURN-QC-OK,return_qc,n/a (rules),1. Reverse pickup pending 2. Checked picku,rules-baseline-v2,rules:note
TK-240650,DUP-PAYMENT,payment_failure,n/a (rules),1. charged twice 2. chk pg for duplicate,rules-baseline-v2,rules:note
TK-240652,RETURN-QC-OK,return_qc,n/a (rules),processed (1400). issue: refund delay. checked refund status o,rules-baseline-v2,rules:note
TK-240672,RETURN-QC-OK,return_qc,n/a (rules),re: reverse pickup pending | re-raised pick,rules-baseline-v2,rules:note
TK-240682,CANCEL,customer_cancellation,n/a (rules),customer states cancel order. cancelled before disp,rules-baseline-v2,rules:note
TK-240686,WTY-BUYBACK,hardware_fault,n/a (rules),warranty claim status | followed,rules-baseline-v2,rules:note
TK-240688,RETURN-QC-OK,return_qc,n/a (rules),tiated to source. issue: rfnd pending. checked reverse pickup,rules-baseline-v2,rules:note
TK-240691,RETURN-QC-OK,return_qc,n/a (rules),Customer reached out - rfnd delay. Checked reverse pickup,rules-baseline-v2,rules:note
TK-240699,LOST-TRANSIT,transit_lost,n/a (rules),Customer reached out - delivery delayed. Confirmed address with,rules-baseline-v2,rules:note
TK-240702,CANCEL,customer_cancellation,n/a (rules),cx: cancellation request | cancelled before dispa,rules-baseline-v2,rules:note
TK-240712,DUP-PAYMENT,payment_failure,n/a (rules),1. double charge 2. conf utrs 3. duplicat,rules-baseline-v2,rules:note
TK-240725,CANCEL,customer_cancellation,n/a (rules),Refunded Rs 1709. Issue: cancel order. Checked shipment stat,rules-baseline-v2,rules:note
TK-240737,CANCEL,customer_cancellation,n/a (rules),cx states cancellation request. chk shipment status. rf,rules-baseline-v2,rules:note
TK-240746,LOST-TRANSIT,transit_lost,n/a (rules),tiated to source. Issue: delivery delayed. Confirmed address with,rules-baseline-v2,rules:note
TK-240751,RETURN-QC-OK,return_qc,n/a (rules),Contact re refund pending. chk refuund status on P,rules-baseline-v2,rules:note
TK-240753,PRICE-ADJ,pricing_coupon,n/a (rules),3) placed on 26 Feb. The festive offer vanished when I clicked,rules-baseline-v2,rules:message
TK-240759,RETURN-QC-OK,return_qc,n/a (rules),Cust contacted re incorrect product shipped. Raised w/ warehouse. Re,rules-baseline-v2,rules:note
TK-240764,RETURN-QC-OK,return_qc,n/a (rules),re: pkp not done | checked pkp awb -> rfn,rules-baseline-v2,rules:note
TK-240778,WTY-BUYBACK,hardware_fault,n/a (rules),issue: rma status query | followed,rules-baseline-v2,rules:note
TK-240796,CANCEL,customer_cancellation,high,"My son ordered thhis without asking, please reverse",claude-opus-5,tier2
TK-240797,LOST-TRANSIT,transit_lost,n/a (rules),d from warehouse. issue: delivery delayed. checked awb with courie,rules-baseline-v2,rules:note
TK-240807,DUP-PAYMENT,payment_failure,n/a (rules),ticket raised for charged twice. conf utrs. refund of rs,rules-baseline-v2,rules:note
TK-240815,RETURN-QC-OK,return_qc,n/a (rules),arn shared with cx. issue: rfnd not,rules-baseline-v2,rules:note
TK-240816,RETURN-QC-OK,return_qc,n/a (rules),duled for 04 mar. issue: reverse pickup pending. chk pickup awb.,rules-baseline-v2,rules:note
TK-240819,RETURN-QC-OK,return_qc,n/a (rules),tiated to source. issue: pickup missed. chk pickup awb. via ret,rules-baseline-v2,rules:note
TK-240825,RETURN-QC-OK,return_qc,n/a (rules),1. Refund pending 2. Checked refund status,rules-baseline-v2,rules:note
TK-240826,CANCEL,customer_cancellation,n/a (rules),issue: order cancellation | cancelled before dispa,rules-baseline-v2,rules:note
TK-240829,LOST-TRANSIT,transit_lost,n/a (rules),Reported: delivery delayed. Confirmed address w/ cx,rules-baseline-v2,rules:note
TK-240834,DUP-PAYMENT,payment_failure,n/a (rules),Ticket raised for double charge. cofn UTRs. rffnd proces,rules-baseline-v2,rules:note
TK-240835,DUP-PAYMENT,payment_failure,n/a (rules),"within 5-7 days. Issue: payment debited, no order. chk PG dashboard for",rules-baseline-v2,rules:note
TK-240845,DUP-PAYMENT,payment_failure,n/a (rules),"1. payment debited, no ord 2. chk pg dashboard for",rules-baseline-v2,rules:note
TK-240853,RETURN-QC-OK,return_qc,n/a (rules),Ticket raised for reverse pickup pending. Chceked pcikup,rules-baseline-v2,rules:note
TK-240856,RETURN-QC-OK,return_qc,n/a (rules),Customer reached out - pcikup missed. chk pickup AWB. rfnd of,rules-baseline-v2,rules:note
TK-240864,DOA-REPL,transit_damage,n/a (rules),"issue: transit damage | photos received, damag",rules-baseline-v2,rules:note
TK-240868,PRICE-ADJ,pricing_coupon,n/a (rules),issue: coupon not applied | chk coupon,rules-baseline-v2,rules:note
TK-240877,RETURN-QC-OK,return_qc,n/a (rules),1. rfnd delay 2. chk rfnd status on PG,rules-baseline-v2,rules:note
TK-240878,DUP-PAYMENT,payment_failure,n/a (rules),"hi sir upi shows success, your app shows nothing",rules-baseline-v2,rules:message
TK-240879,RETURN-QC-OK,return_qc,n/a (rules),1. Refund delay 2. chk refund status on,rules-baseline-v2,rules:note
TK-240883,LOST-TRANSIT,transit_lost,n/a (rules),1. Delivery delayed 2. Raised ticket w/ cour,rules-baseline-v2,rules:note
TK-240889,RETURN-QC-OK,return_qc,n/a (rules),Cust contacted re refund delay. Checked revrese pickup,rules-baseline-v2,rules:note
TK-240890,DUP-PAYMENT,payment_failure,n/a (rules),"1. payment debited, no ord 2. chk pg dashboard for",rules-baseline-v2,rules:note
TK-240895,PRICE-ADJ,pricing_coupon,n/a (rules),1. promo code invalid 2. chk coupon va,rules-baseline-v2,rules:note
TK-240910,DUP-PAYMENT,payment_failure,n/a (rules),issue: cahrged twice | confirmed utrs -> rfnd of rs 750 initia,rules-baseline-v2,rules:note
TK-240915,RETURN-QC-OK,return_qc,n/a (rules),cx says pickup not done. re-raised pickup w/ crr,rules-baseline-v2,rules:note
TK-240920,DUP-PAYMENT,payment_failure,n/a (rules),double payment deducted,rules-baseline-v2,rules:message
TK-240923,RETURN-QC-OK,return_qc,n/a (rules),Ticket raised for refund delay. chk refund status on PG,rules-baseline-v2,rules:note
TK-240941,RETURN-QC-OK,return_qc,n/a (rules),5-7 working days. Issue: pkp missed. Re-raised pkp w/ courie,rules-baseline-v2,rules:note
TK-240947,CANCEL,customer_cancellation,n/a (rules),contact re cancel ord. chk shipment status. re,rules-baseline-v2,rules:note
TK-240951,DOA-REPL,transit_damage,n/a (rules),der VR891930 (Strata 2). Box was crushed and the Strata 2 is crac,rules-baseline-v2,rules:message
TK-240953,DUP-PAYMENT,payment_failure,n/a (rules),re: amount deducted without order | checked pg dashboard,rules-baseline-v2,rules:note
TK-240960,LOST-TRANSIT,transit_lost,n/a (rules),e shipment not received. chk AWB w/ courier. Courier conf,rules-baseline-v2,rules:note
TK-240961,RETURN-QC-OK,return_qc,n/a (rules),cx reached out - refund pending. Checked refund status o,rules-baseline-v2,rules:note
TK-240963,LOST-TRANSIT,transit_lost,high,Reported: ord not delivered,claude-opus-5,tier2
TK-240976,RETURN-QC-OK,return_qc,n/a (rules),Customer reached out - reverse pickup pending. Re-raised picku,rules-baseline-v2,rules:note
TK-240980,RETURN-QC-OK,return_qc,n/a (rules),1. rfnd not credited 2. checked reverse picku,rules-baseline-v2,rules:note
TK-240984,WTY-BUYBACK,connectivity_firmware,n/a (rules),cx: fw update failed | asked cx to kee,rules-baseline-v2,rules:note
TK-240987,RETURN-QC-OK,return_qc,n/a (rules),refund reprocessed. issue: refund delay. ch,rules-baseline-v2,rules:note
TK-240988,RETURN-QC-OK,return_qc,n/a (rules),duled for 17 mar. issue: pickup missed. re-raised pickup with c,rules-baseline-v2,rules:note
TK-240992,DUP-PAYMENT,payment_failure,n/a (rules),1. Charged twice 2. Checked PG for duplic,rules-baseline-v2,rules:note
TK-241003,DUP-PAYMENT,payment_failure,n/a (rules),Cust contacted re amount deducted without order. conf w/ payment gatew,rules-baseline-v2,rules:note
TK-241026,DUP-PAYMENT,payment_failure,n/a (rules),Ticket raised for faild ord after payment. Asked for,rules-baseline-v2,rules:note
TK-241027,WTY-BUYBACK,hardware_fault,n/a (rules),cx states right side silent. walked through reset. e,rules-baseline-v2,rules:note
TK-241034,DUP-PAYMENT,payment_failure,n/a (rules),cx reached out - amount deducted without ord. conf w/ paymnet gateway,rules-baseline-v2,rules:note
TK-241038,PRICE-ADJ,pricing_coupon,n/a (rules),cx: prmo code invalid | checked cart e,rules-baseline-v2,rules:note
TK-241040,RETURN-QC-OK,return_qc,n/a (rules),1. Refund deelay 2. chk reverse pickup QC status 3. ARN shared,rules-baseline-v2,rules:note
TK-241053,CANCEL,customer_cancellation,n/a (rules),re: ord cancellation | cancelled before disat,rules-baseline-v2,rules:note
TK-241058,CANCEL,customer_cancellation,n/a (rules),refunded rs 5849. issue: order cancellation. checked shipment status,rules-baseline-v2,rules:note
TK-241059,RETURN-QC-OK,return_qc,n/a (rules),1. Refund pending 2. Checked reverse pkp Q,rules-baseline-v2,rules:note
TK-241062,GW-OTHER,service_recovery,high,"reset done, paired ok. -- Both refund and replacement given as cx threatened social media",claude-opus-5,tier2
TK-241065,DUP-PAYMENT,payment_failure,n/a (rules),ch. My bank says Rs 3499 went to u but ur site says I have no orders. I tried logging out ,rules-baseline-v2,rules:message
TK-241067,DOA-REPL,transit_damage,n/a (rules),new unit shipped under doa. issue: incorrect produc,rules-baseline-v2,rules:note
TK-241069,PRICE-ADJ,pricing_coupon,n/a (rules),Purchased: 06 Mar Issue: coupon code not working Tried:,rules-baseline-v2,rules:message
TK-241071,CANCEL,customer_cancellation,n/a (rules),Customer states cancellation request. Checked shipment status,rules-baseline-v2,rules:note
TK-241077,DUP-PAYMENT,payment_failure,n/a (rules),vireo.in 3 weeks back.  Money debited but order not showing. I waited 24 hou,rules-baseline-v2,rules:message
TK-241081,DUP-PAYMENT,payment_failure,n/a (rules),rfnd processed. issue: double charge. chk pg for duplicate tx,rules-baseline-v2,rules:note
TK-241084,DUP-PAYMENT,payment_failure,n/a (rules),"re: payment debited, no ord | asked for utr -> full",rules-baseline-v2,rules:note
TK-241089,RETURN-QC-OK,return_qc,n/a (rules),Contact re refund pending. Checked refund status o,rules-baseline-v2,rules:note
TK-241091,RETURN-QC-OK,return_qc,n/a (rules),cx reached out - refund not credited. Checked refund status o,rules-baseline-v2,rules:note
TK-241092,RETURN-QC-OK,return_qc,n/a (rules),Cx says rfnd delay. Checked rfnd status on,rules-baseline-v2,rules:note
TK-241093,DUP-PAYMENT,payment_failure,n/a (rules),"paid via UPI, amount deducted, no order confirmation V",rules-baseline-v2,rules:message
TK-241094,DUP-PAYMENT,payment_failure,n/a (rules),customer states amount deducted without order. checked pg dashboard,rules-baseline-v2,rules:note
TK-241097,RETURN-QC-OK,return_qc,n/a (rules),Contact re reverse pickup pending. chk pickup AWB.,rules-baseline-v2,rules:note
TK-241114,RETURN-QC-OK,return_qc,n/a (rules),1. rfnd not credited 2. chk reverse pickup QC,rules-baseline-v2,rules:note
TK-241118,RETURN-QC-OK,return_qc,n/a (rules),"refund was promised 12 days ago and nothing,",rules-baseline-v2,rules:message
TK-241119,WTY-BUYBACK,connectivity_firmware,n/a (rules),cx reached out - crackling/distortion. chk fw. fw u,rules-baseline-v2,rules:note
TK-241121,DOA-REPL,transit_damage,n/a (rules),contact re transit damage. chk with crr for damage,rules-baseline-v2,rules:note
TK-241126,WTY-BUYBACK,connectivity_firmware,n/a (rules),pairing failure | asked cx to reset t,rules-baseline-v2,rules:note
TK-241130,WTY-BUYBACK,connectivity_firmware,n/a (rules),re: unable to pair w/ phone | asked cx to r,rules-baseline-v2,rules:note
TK-241152,RETURN-QC-OK,return_qc,n/a (rules),Cust contacted re refuund delay. chk refund status on PG,rules-baseline-v2,rules:note
TK-241155,CANCEL,customer_cancellation,n/a (rules),tiated to source. Issue: ord cancellation. chk shipment status.,rules-baseline-v2,rules:note
TK-241156,DUP-PAYMENT,payment_failure,n/a (rules),contact re amount deducted without order. checked pg dashboard,rules-baseline-v2,rules:note
TK-241163,DUP-PAYMENT,payment_failure,n/a (rules),1. amount deducted without order 2. asked for utr 3. re,rules-baseline-v2,rules:note
TK-241213,PRICE-ADJ,pricing_coupon,n/a (rules),16-03-2025. your ad said 20% off and the cart says full p,rules-baseline-v2,rules:message
TK-241215,DUP-PAYMENT,payment_failure,n/a (rules),cx states amount deducted without ord. chk PG dashboard for tx,rules-baseline-v2,rules:note
TK-241220,DUP-PAYMENT,payment_failure,n/a (rules),re: double charge | confirmde utrs -> refu,rules-baseline-v2,rules:note
TK-241229,DUP-PAYMENT,payment_failure,n/a (rules),"cx: paymnt debited, no ord | conf with paym",rules-baseline-v2,rules:note
TK-241236,RETURN-QC-OK,return_qc,n/a (rules),tiated to source. issue: rfnd not credited. checked reverse pickup,rules-baseline-v2,rules:note
TK-241243,DUP-PAYMENT,payment_failure,n/a (rules),"1. payment debited, no order 2. asked for utr 3. re",rules-baseline-v2,rules:note
TK-241268,RETURN-QC-OK,return_qc,n/a (rules),pickup pending. Checked pickup AWB. Ful rfdn processed (649,rules-baseline-v2,rules:note
TK-241269,RETURN-QC-OK,return_qc,n/a (rules),Cx reported rfnd pending. Checked reverse pkp QC,rules-baseline-v2,rules:note
TK-241270,RETURN-QC-OK,return_qc,n/a (rules),Cust contacted re rfnd not credited. chk reverse pickup QC s,rules-baseline-v2,rules:note
TK-241273,WTY-BUYBACK,hardware_fault,n/a (rules),rplc raised. Issue: single side audio only. Asked cx to chek b,rules-baseline-v2,rules:note
TK-241279,DUP-PAYMENT,payment_failure,n/a (rules),"UPI shows success, ur app shows nothing, V",rules-baseline-v2,rules:message
TK-241284,CANCEL,customer_cancellation,n/a (rules),processed (375). Issue: cancelllation request. Cancelled befor,rules-baseline-v2,rules:note
TK-241292,GW-OTHER,service_recovery,high,"fw update resolved | refunded and also raised replacement, cx was very upset",claude-opus-5,tier2
TK-241308,RETURN-QC-OK,return_qc,n/a (rules),Refunded Rs 5949. Issue: pickup not done. Checked pickup AWB.,rules-baseline-v2,rules:note
TK-241315,DUP-PAYMENT,payment_failure,n/a (rules),Cx says duplicate payment. conf UTRs. rfnd of Rs 4,rules-baseline-v2,rules:note
